key,code,registration-time,due-date,quantity,tax,link,published,key:sponsorship
invoice-01,IN-1239-1234,2022/07/29 00:00,2023/08/06 00:00,EUR 40000.00,0.21,https://example.com,true,sponsorship-01
invoice-02,IN-1238-1239,2000/01/01 00:00,2023/08/06 00:00,EUR 50000.00,0.21,https://example.com,false,sponsorship-01
invoice-03,IN-1236-1238,2000/01/01 00:01,2023/08/06 00:00,EUR 60000.00,0.21,https://example.com,false,sponsorship-02
invoice-04,IN-1237-1237,2022/07/29 23:59,2023/08/06 00:00,EUR 30000.00,0.21,https://example.com,false,sponsorship-01
invoice-05,IN-1238-1235,2022/07/30 00:00,2023/08/06 00:00,EUR 10000.00,0.21,https://example.com,false,sponsorship-02
invoice-06,IN-1233-1244,2020/02/29 00:00,2023/08/06 00:00,EUR 20000.00,0.21,https://example.com,false,sponsorship-01
invoice-07,IN-1237-1257,2020/02/28 23:59,2023/08/06 00:00,EUR 30000.00,0.21,https://example.com,false,sponsorship-02
invoice-08,IN-1234-1263,2022/07/29 00:00,2022/08/29 00:00,EUR 40000.00,0.21,https://example.com,false,sponsorship-01
invoice-09,IN-1200-1272,2022/07/29 00:00,2022/08/29 00:01,EUR 50000.00,0.21,https://example.com,false,sponsorship-03
invoice-10,IN-1131-1183,2022/07/29 00:00,2200/12/31 23:58,EUR 60000.00,0.21,https://example.com,false,sponsorship-01
invoice-11,IN-2232-1294,2022/07/29 00:00,2200/12/31 23:59,EUR 70000.00,0.21,https://example.com,false,sponsorship-01
invoice-12,IN-2234-1132,2022/07/29 00:00,2024/02/28 23:59,EUR 70000.00,0.21,https://example.com,false,sponsorship-01
invoice-13,IN-2232-1234,2022/07/29 00:00,2024/02/29 00:00,EUR 80000.00,0.21,https://example.com,false,sponsorship-01
invoice-14,IN-1233-1332,2022/07/29 00:00,2023/08/06 00:00,EUR 0.00,0.21,https://example.com,false,sponsorship-39
invoice-15,IN-1233-1432,2022/07/29 00:00,2023/08/06 00:00,EUR 0.01,0.21,https://example.com,false,sponsorship-01
invoice-16,IN-1231-1534,2022/07/29 00:00,2023/08/06 00:00,EUR 1000000.00,0.21,https://example.com,false,sponsorship-04
invoice-17,IN-1235-1630,2022/07/29 00:00,2023/08/06 00:00,EUR 999999.99,0.21,https://example.com,false,sponsorship-04
invoice-18,IN-1229-1726,2022/07/29 00:00,2023/08/06 00:00,EUR -0.00,0.21,https://example.com,false,sponsorship-04
invoice-19,IN-1232-1833,2022/07/29 00:00,2023/08/06 00:00,GBP 40000.00,0.21,https://example.com,false,sponsorship-04
invoice-20,IN-1232-1931,2022/07/29 00:00,2023/08/06 00:00,USD 50000.00,0.21,https://example.com,false,sponsorship-04
invoice-21,IN-1232-2231,2022/07/29 00:00,2023/08/06 00:00,USD 0,0.21,https://example.com,false,sponsorship-01
invoice-22,IN-1230-3233,2022/07/29 00:00,2023/08/06 00:00,USD 30000.1,0.21,https://example.com,false,sponsorship-01
invoice-23,IN-1224-4229,2022/07/29 00:00,2023/08/06 00:00,USD -0,0.21,https://example.com,false,sponsorship-04
invoice-24,IN-2134-5235,2022/07/29 00:00,2023/08/06 00:00,EUR 40000.00,0.00,https://example.com,false,sponsorship-01
invoice-25,IN-3236-6234,2022/07/29 00:00,2023/08/06 00:00,EUR 30000.00,0.01,https://example.com,false,sponsorship-05
invoice-26,IN-4234-7237,2022/07/29 00:00,2023/08/06 00:00,EUR 50000.00,0.99,https://example.com,false,sponsorship-01
invoice-27,IN-5238-8234,2022/07/29 00:00,2023/08/06 00:00,EUR 20000.00,1.00,https://example.com,false,sponsorship-01
invoice-28,IN-6999-9239,2022/07/29 00:00,2023/08/06 00:00,EUR 30000.00,0.21,https://a.com,false,sponsorship-01
invoice-29,IN-6232-1224,2022/07/29 00:00,2023/08/06 00:00,EUR 40000.00,0.21,https://aa.com,false,sponsorship-01
invoice-30,IN-7234-1231,2022/07/29 00:00,2023/08/06 00:00,EUR 50000.00,0.21,https://example.com/23232ffdsf437v6d5f3g2h1i0j9k8l7m6n5o4p3q2r1s0t9u8vvvvvvvvvvvvvvvvvvvssdssssssssssssssssssssssssssdddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd,false,sponsorship-01
invoice-31,IN-7234-1244,2022/07/29 00:00,2023/08/06 00:00,EUR 60000.00,0.21,https://example.com/23233wf7v6d5f3g2h1i0j9k8l7m6n5o4p3q2r1s0t9u8vvvvvvvvvvvvvvvvvvvssdssssssssssssssssssssssssssssddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd,false,sponsorship-01
invoice-37,IN-6232-9291,2022/07/29 00:00,2023/08/06 00:00,EUR 70000.00,0.21,https://example.com?,false,sponsorship-01
invoice-38,IN-6234-9554,2022/07/29 00:00,2023/08/06 00:00,EUR 80000.00,0.21,https://example.com?A,false,sponsorship-06
invoice-32,IN-8234-1252,2022/07/29 00:00,2023/08/06 00:00,EUR 90000.00,0.21,,false,sponsorship-01
invoice-33,IN-6234-1242,2022/07/29 00:00,2023/08/06 00:00,EUR 30000.00,0.21,http://example.com/offer/subfolder/file.pdf,false,sponsorship-01
invoice-34,IN-6234-1274,2022/07/29 00:00,2023/08/06 00:00,EUR 40000.00,0.21,ftp://example.com/offer?param1=value1&param2=value2,false,sponsorship-01
