key,code,moment,start-date,end-date,amount,type,email,link,published,key:project,key:sponsor
sponsorship-01,ABG-133,2022/07/29 00:00,2022/08/29 00:00,2025/08/13 00:00,EUR 30000.00,IN_KIND,example@gmail.com,https://sample.com,false,project-01,sponsor-01
sponsorship-02,ABT-134,2000/01/01 00:00,2022/08/29 00:00,2025/08/13 00:00,EUR 10000.00,FINANCIAL,example1@gmail.com,https://sample.com,false,project-02,sponsor-01
sponsorship-03,ABG-135,2000/01/01 00:01,2022/08/29 00:00,2025/08/13 00:00,EUR 40000.00,IN_KIND,example2@gmail.com,https://sample.com,false,project-01,sponsor-01
sponsorship-04,ABR-123,2022/07/29 23:59,2022/08/29 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,example@gmail.com,https://sample.com,false,project-02,sponsor-02
sponsorship-05,ABV-124,2022/07/30 00:00,2022/08/29 00:00,2025/08/13 00:00,EUR 50000.00,FINANCIAL,example@gmail.com,https://sample.com,false,project-01,sponsor-01
sponsorship-06,ACD-125,2020/02/28 23:59,2022/08/29 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,example@gmail.com,https://sample.com,false,project-03,sponsor-02
sponsorship-07,ATE-126,2020/02/29 00:00,2022/08/29 00:00,2025/08/13 00:00,EUR 60000.00,FINANCIAL,example@gmail.com,https://sample.com,false,project-01,sponsor-01
sponsorship-08,ABY-127,2022/07/29 00:00,2022/07/29 00:01,2025/08/13 00:00,EUR 20000.00,FINANCIAL,example@gmail.com,https://sample.com,false,project-02,sponsor-02
sponsorship-09,ABG-128,2022/07/29 00:00,2022/07/29 00:02,2025/08/13 00:00,EUR 30000.00,IN_KIND,example@gmail.com,https://sample.com,false,project-01,sponsor-01
sponsorship-10,ABH-112,2022/07/29 00:00,2200/11/30 23:58,2200/12/31 23:58,EUR 40000.00,FINANCIAL,example@gmail.com,https://sample.com,false,project-02,sponsor-02
sponsorship-12,ABJ-121,2022/07/29 00:00,2200/11/30 23:59,2200/12/31 23:59,EUR 20000.00,IN_KIND,example@gmail.com,https://sample.com,false,project-01,sponsor-01
sponsorship-13,ABN-122,2022/07/29 00:00,2024/02/28 23:59,2025/08/13 00:00,EUR 50000.00,FINANCIAL,example@gmail.com,https://sample.com,false,project-01,sponsor-01
sponsorship-14,ARO-112,2022/07/29 00:00,2024/02/29 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,example@gmail.com,https://sample.com,false,project-01,sponsor-02
sponsorship-15,ACP-131,2022/07/29 00:00,2022/07/29 00:01,2022/08/29 00:01,EUR 60000.00,IN_KIND,example@gmail.com,https://sample.com,false,project-02,sponsor-01
sponsorship-16,ADA-141,2022/07/29 00:00,2022/07/29 00:02,2022/08/29 00:02,EUR 20000.00,FINANCIAL,example@gmail.com,https://sample.com,false,project-01,sponsor-02
sponsorship-17,ABS-441,2022/07/29 00:00,2022/08/29 00:00,2200/12/31 23:58,EUR 70000.00,IN_KIND,example@gmail.com,https://sample.com,false,project-01,sponsor-01
sponsorship-18,ABD-134,2022/07/29 00:00,2022/08/29 00:00,2200/12/31 23:59,EUR 20000.00,FINANCIAL,example@gmail.com,https://sample.com,false,project-02,sponsor-02
sponsorship-19,ASH-149,2022/07/29 00:00,2022/08/29 00:00,2024/02/28 23:59,EUR 80000.00,IN_KIND,example@gmail.com,https://sample.com,false,project-01,sponsor-01
sponsorship-20,ABJ-445,2022/07/29 00:00,2022/08/29 00:00,2024/02/29 00:00,EUR 90000.00,FINANCIAL,example@gmail.com,https://sample.com,false,project-02,sponsor-01
sponsorship-21,ASK-155,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 0.00,FINANCIAL,example@gmail.com,https://sample.com,false,project-01,sponsor-02
sponsorship-22,ASD-164,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 0.01,IN_KIND,example@gmail.com,https://sample.com,false,project-01,sponsor-01
sponsorship-23,ABS-174,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 999999.99,IN_KIND,example@gmail.com,https://sample.com,false,project-01,sponsor-01
sponsorship-24,ABX-184,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 1000000.00,IN_KIND,example@gmail.com,https://sample.com,false,project-02,sponsor-01
sponsorship-25,ASC-192,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR -0.00,FINANCIAL,example@gmail.com,https://sample.com,false,project-01,sponsor-01
sponsorship-26,ARS-163,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,USD 30000.00,FINANCIAL,example@gmail.com,https://sample.com,false,project-02,sponsor-02
sponsorship-27,ABN-172,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,GBP 40000.00,FINANCIAL,example@gmail.com,https://sample.com,false,project-01,sponsor-01
sponsorship-28,ADM-182,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,USD 40000,FINANCIAL,example@gmail.com,https://sample.com,false,project-01,sponsor-01
sponsorship-29,AQC-192,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,GBP 0,FINANCIAL,example@gmail.com,https://sample.com,false,project-01,sponsor-01
sponsorship-30,AWT-103,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,IN_KIND,example@gmail.com,https://sample.com,false,project-01,sponsor-02
sponsorship-31,AEC-223,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,FINANCIAL,,https://sample.com,false,project-01,sponsor-02
sponsorship-32,RRC-323,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 50000.00,FINANCIAL,a@hotmail.com,https://sample.com,false,project-01,sponsor-01
sponsorship-33,AYC-322,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,IN_KIND,as@acme.com,https://sample.com,false,project-01,sponsor-01
sponsorship-34,AYC-423,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 50000.00,FINANCIAL,example_subexample@outlook.com,https://sample.com,false,project-01,sponsor-01
sponsorship-35,AUC-522,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 20000.00,IN_KIND,645646464565644566456fdgdgvc4456789x123456789y123456789z@example.com,https://sample.com,false,project-01,sponsor-01
sponsorship-36,AIC-522,2022/07/29 00:00,2022/08/06 00:00,2025/08/13 00:00,EUR 50000.00,IN_KIND,9t34567wrsdfffef234567ddd89w123456789x123456789123456789z@example.com,https://sample.com,false,project-02,sponsor-02
